849.95	70	1.2	
745.95	73	0.8	
478.9	50	1.1	
103.23	74	1.5	
655.99	69	1.3	
712.19	69	1.2	
948.32	74	0.7	
818.21	41	1.1	
884.33	69	0.7	
181.21	2	1.5	
185.48	23	1	
659.09	30	0.6	
421.01	40	1	
137.91	38	0.9	
137.87	23	1.1	
919.48	69	0.7	
565.47	24	0.7	
30.78	42	0.7	
464.75	35	0.7	
40.14	31	1.1	
436.98	53	0.9	
348.37	18	1.2	
230.69	75	0.8	
12.33	33	1.4	
868.62	43	0.7	
940.14	6	0.9	
410.9	57	0.7	
664.37	20	1.5	
870.65	22	1.4	
127.98	11	1.1	
382.89	49	1	
31.54	7	0.7	
82.47	20	1.5	
694.8	75	1.1	
220.78	41	0.7	
834.04	42	0.8	
19.39	63	1.3	
326.14	18	0.7	
340.89	24	1.1	
802.73	56	0.6	
277.78	33	0.9	
260.19	68	0.7	
949.54	46	1.3	
756.64	4	1	
709.2	61	0.7	
371.7	30	0.9	
695.97	14	1	
231.17	16	0.7	
831.37	61	1.1	
714.67	25	0.9	
935.65	61	1.5	
320.62	46	1	
611.15	45	1	
918.44	37	1	
661.34	39	0.8	
433.21	32	0.7	
391.58	5	0.8	
731.65	3	0.7	
21.51	51	1.5	
21.64	66	1.2	
942.53	16	0.6	
797.93	24	0.8	
297.86	31	0.8	
126.63	55	1.3	
111.57	46	1.2	
667.21	29	0.9	
855.9	10	1.1	
356.01	14	1	
98.81	36	1	
695.93	34	0.9	
914.78	24	1.5	
876.1	40	0.9	
256.68	30	1	
349.35	20	0.7	
644.57	50	1.1	
37.29	65	1	
442.92	13	1	
288.64	25	1.5	
491.7	10	1.2	
310.04	75	1.4	
772.02	49	1.4	
945.29	54	0.6	
555.12	66	0.6	
352.45	6	0.6	
77.8	35	0.5	
774.99	6	1.3	
408.06	39	1.5	
385.13	50	1.1	
316.67	53	0.6	
402.84	11	0.8	
702.62	5	1.5	
173.77	53	0.7	
228.72	33	0.8	
21.31	59	0.6	
646.26	51	1.4	
454.65	72	1.2	
30.6	18	1.5	
42.36	48	0.9	
721.88	13	1.1	
942.74	64	1.1	
541.48	51	1.3	
414.49	27	1	
234.85	44	0.8	
817.04	3	1.4	
300.72	43	1.5	
755.32	14	1.3	
253.07	43	0.8	
862.27	10	1.2	
922.76	19	0.7	
800.07	10	0.7	
737.92	53	0.5	
420.79	37	1	
152.16	67	0.8	
145.83	31	0.6	
626.44	20	0.9	
13.37	59	0.9	
948.92	35	1.2	
761.31	68	0.8	
276.95	29	0.7	
481.97	59	1.1	
491.11	38	1.3	
271.4	16	1.4	
632.88	36	1.5	
912.59	18	1.4	
589.47	16	1.1	
615.62	2	0.8	
371.43	54	0.5	
90.66	42	0.8	
185.44	36	1.1	
359.11	43	0.5	
626.16	62	0.6	
786.49	46	0.9	
471.43	66	1.2	
904.6	43	0.9	
124.44	32	1.4	
842.53	74	1.3	
129.4	34	1.3	
953.51	22	0.6	
643.38	40	0.9	
879.38	35	1.4	
150.86	6	0.9	
593.83	6	0.7	
519.44	75	1.5	
331.76	73	1.2	
918.6	10	0.7	
112.45	35	0.8	
549.72	25	0.9	
750.55	44	0.8	
777.85	52	0.9	
158.82	7	1.3	
554.58	25	0.5	
661.67	66	1.4	
161.46	3	0.6	
907.12	67	1.4	
853.83	67	1.2	
477.26	53	0.8	
541.11	73	1.2	
613.17	38	1.3	
780.71	32	1.2	
769.16	71	1.2	
493.6	37	0.7	
762.53	60	0.8	
200.05	21	0.7	
319.75	36	0.7	
318.56	50	1.1	
335.47	49	1.4	
289.39	68	0.9	
159.33	57	0.6	
241.12	54	0.7	
614.7	44	0.6	
183.75	31	0.9	
124.54	72	1.1	
720.02	38	1	
430.83	28	0.7	
317.13	44	0.6	
606.48	18	0.8	
359.28	58	1.3	
100.78	35	0.7	
536.02	46	1	
22.19	55	1.4	
748.32	31	0.9	
803.65	53	1.2	
32.09	15	0.8	
